64.212.61.haa,2017-02-14 00:09:32,2017-02-14 00:14:45,314,1344
64.28.108.edf,2017-02-14 00:09:32,2017-02-14 00:14:44,313,56
64.62.233.jcf,2017-02-14 00:09:32,2017-02-14 00:14:45,314,2066
66.249.64.aah,2017-02-14 00:09:32,2017-02-14 00:14:45,314,442
66.249.64.abb,2017-02-14 00:09:32,2017-02-14 00:14:45,314,432
66.249.64.abc,2017-02-14 00:09:32,2017-02-14 00:14:43,312,372
66.249.64.aej,2017-02-14 00:09:32,2017-02-14 00:14:44,313,242
66.249.64.bhe,2017-02-14 00:09:32,2017-02-14 00:14:45,314,528
66.249.64.cdg,2017-02-14 00:09:32,2017-02-14 00:14:44,313,316
66.249.64.cgg,2017-02-14 00:09:32,2017-02-14 00:14:45,314,461
66.249.64.cje,2017-02-14 00:09:32,2017-02-14 00:14:45,314,462
66.249.64.ebi,2017-02-14 00:09:32,2017-02-14 00:14:45,314,358
66.249.64.efc,2017-02-14 00:09:32,2017-02-14 00:14:44,313,333
66.249.64.fbd,2017-02-14 00:09:32,2017-02-14 00:14:45,314,547
66.249.64.fhg,2017-02-14 00:09:32,2017-02-14 00:14:45,314,294
66.249.64.fie,2017-02-14 00:09:32,2017-02-14 00:09:42,11,2
66.249.64.fih,2017-02-14 00:09:32,2017-02-14 00:14:45,314,451
66.249.64.gee,2017-02-14 00:09:32,2017-02-14 00:14:45,314,354
66.249.64.geh,2017-02-14 00:09:32,2017-02-14 00:14:45,314,555
66.249.64.gfa,2017-02-14 00:09:32,2017-02-14 00:14:45,314,398
66.249.64.gfj,2017-02-14 00:09:32,2017-02-14 00:14:44,313,380
66.249.64.gjj,2017-02-14 00:09:32,2017-02-14 00:14:45,314,243
66.249.64.hfe,2017-02-14 00:09:32,2017-02-14 00:14:45,314,372
66.249.64.jfd,2017-02-14 00:09:32,2017-02-14 00:14:45,314,397
66.249.64.jie,2017-02-14 00:09:32,2017-02-14 00:14:45,314,475
66.28.38.fdi,2017-02-14 00:09:32,2017-02-14 00:09:59,28,5
68.180.229.jhf,2017-02-14 00:09:32,2017-02-14 00:14:45,314,2847
68.185.211.dce,2017-02-14 00:09:32,2017-02-14 00:14:45,314,562
72.79.46.bhj,2017-02-14 00:09:32,2017-02-14 00:09:32,1,1
73.24.88.jdj,2017-02-14 00:09:32,2017-02-14 00:14:34,303,759
74.101.148.ech,2017-02-14 00:09:32,2017-02-14 00:14:45,314,1613
75.126.206.gfj,2017-02-14 00:09:32,2017-02-14 00:14:45,314,1049
75.26.138.gjj,2017-02-14 00:09:32,2017-02-14 00:14:45,314,678
85.118.133.fcf,2017-02-14 00:09:32,2017-02-14 00:14:45,314,1705
96.46.148.ahf,2017-02-14 00:09:32,2017-02-14 00:13:20,229,3
99.238.177.hec,2017-02-14 00:09:32,2017-02-14 00:14:45,314,1533
99.50.226.hbf,2017-02-14 00:09:32,2017-02-14 00:14:45,314,947
101.71.41.ihh,2017-02-14 00:09:33,2017-02-14 00:14:45,313,72
104.196.164.ehg,2017-02-14 00:09:33,2017-02-14 00:14:46,314,2354
106.38.241.eda,2017-02-14 00:09:33,2017-02-14 00:13:50,258,3
107.22.225.dea,2017-02-14 00:09:33,2017-02-14 00:12:11,159,97
107.23.85.jfd,2017-02-14 00:09:33,2017-02-14 00:14:46,314,4751
117.91.3.jbh,2017-02-14 00:09:33,2017-02-14 00:14:46,314,728
123.125.71.agj,2017-02-14 00:09:33,2017-02-14 00:13:05,213,3
123.125.71.jfd,2017-02-14 00:09:33,2017-02-14 00:13:17,225,2
128.135.253.cjj,2017-02-14 00:09:33,2017-02-14 00:14:42,310,1316
128.253.94.eda,2017-02-14 00:09:33,2017-02-14 00:14:46,314,304
128.42.124.cca,2017-02-14 00:09:33,2017-02-14 00:14:45,313,324
141.160.13.ihd,2017-02-14 00:09:33,2017-02-14 00:14:46,314,743
141.8.143.jeh,2017-02-14 00:09:33,2017-02-14 00:14:40,308,92
146.88.97.jag,2017-02-14 00:09:33,2017-02-14 00:13:36,244,24
149.202.95.fha,2017-02-14 00:09:33,2017-02-14 00:14:46,314,1367
149.56.103.jbf,2017-02-14 00:09:33,2017-02-14 00:14:39,307,316
151.153.1.jbj,2017-02-14 00:09:33,2017-02-14 00:10:23,51,9
152.19.226.jdj,2017-02-14 00:09:33,2017-02-14 00:14:45,313,1221
161.130.188.iee,2017-02-14 00:09:33,2017-02-14 00:13:18,226,222
162.27.56.ceb,2017-02-14 00:09:33,2017-02-14 00:13:50,258,1339
163.172.65.baj,2017-02-14 00:09:33,2017-02-14 00:09:33,1,1
163.172.65.gge,2017-02-14 00:09:33,2017-02-14 00:09:38,6,2
164.127.82.caa,2017-02-14 00:09:33,2017-02-14 00:09:33,1,1
167.219.0.egd,2017-02-14 00:09:33,2017-02-14 00:14:45,313,465
172.113.245.bhg,2017-02-14 00:09:33,2017-02-14 00:14:45,313,904
173.236.43.bbb,2017-02-14 00:09:33,2017-02-14 00:14:45,313,857
180.168.17.dbe,2017-02-14 00:09:33,2017-02-14 00:13:15,223,17
183.128.141.ihf,2017-02-14 00:09:33,2017-02-14 00:14:44,312,283
184.88.247.jdj,2017-02-14 00:09:33,2017-02-14 00:14:45,313,594
184.95.45.ebc,2017-02-14 00:09:33,2017-02-14 00:09:34,2,4
193.90.12.dci,2017-02-14 00:09:33,2017-02-14 00:09:33,1,1
198.51.212.iei,2017-02-14 00:09:33,2017-02-14 00:09:47,15,3
199.230.19.bij,2017-02-14 00:09:33,2017-02-14 00:09:34,2,6
204.212.175.bch,2017-02-14 00:09:33,2017-02-14 00:14:45,313,2369
205.166.94.igj,2017-02-14 00:09:33,2017-02-14 00:14:45,313,3432
207.46.13.dfg,2017-02-14 00:09:33,2017-02-14 00:14:33,301,315
207.46.13.fha,2017-02-14 00:09:33,2017-02-14 00:14:45,313,349
208.77.214.bdf,2017-02-14 00:09:33,2017-02-14 00:14:39,307,51
208.77.215.bdf,2017-02-14 00:09:33,2017-02-14 00:14:39,307,45
210.51.244.beh,2017-02-14 00:09:33,2017-02-14 00:14:45,313,143
211.138.117.aig,2017-02-14 00:09:33,2017-02-14 00:10:25,53,3
213.152.28.bhe,2017-02-14 00:09:33,2017-02-14 00:14:45,313,952
218.94.86.gcd,2017-02-14 00:09:33,2017-02-14 00:14:45,313,795
27.5.128.hjh,2017-02-14 00:09:33,2017-02-14 00:14:45,313,999
34.248.121.fie,2017-02-14 00:09:33,2017-02-14 00:14:45,313,523
38.104.253.cac,2017-02-14 00:09:33,2017-02-14 00:14:45,313,806
38.140.120.fcg,2017-02-14 00:09:33,2017-02-14 00:10:08,36,2
38.88.175.jdd,2017-02-14 00:09:33,2017-02-14 00:13:43,251,16
49.77.228.abj,2017-02-14 00:09:33,2017-02-14 00:14:45,313,2048
5.79.14.hji,2017-02-14 00:09:33,2017-02-14 00:14:40,308,111
50.110.95.jbf,2017-02-14 00:09:33,2017-02-14 00:10:24,52,51
50.16.61.jgj,2017-02-14 00:09:33,2017-02-14 00:14:45,313,2330
52.27.230.ach,2017-02-14 00:09:33,2017-02-14 00:14:26,294,35
52.30.165.dgd,2017-02-14 00:09:33,2017-02-14 00:14:45,313,409
52.50.93.caf,2017-02-14 00:09:33,2017-02-14 00:14:45,313,554
52.52.180.bfb,2017-02-14 00:09:33,2017-02-14 00:14:45,313,977
52.91.167.aig,2017-02-14 00:09:33,2017-02-14 00:14:44,312,170
54.152.17.ccg,2017-02-14 00:09:33,2017-02-14 00:14:45,313,5083
